"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200706126-00","일반","실감형 문화콘텐츠 체험관 조성 공사 폐기물 처리 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 23:46(2020/07/10 10:00)"
"용역","20200706124-00","긴급","늘(NLL) 평화의 철책길 디자인(실시설계) 및 스토리텔링 개발 용역","인천광역시 강화군","인천광역시 강화군","일반(총액)협상에의한계약","2020/07/06 23:34(2020/07/17 17:00)"
"용역","20200706123-00","일반","2020 서울아트마켓 공연 영상 제작 용역","(재)예술경영지원센터","(재)예술경영지원센터","제한(총액)협상에의한계약","2020/07/06 23:15(2020/07/17 14:00)"
"용역","20200706111-00","일반","석대.시천 공공하수처리시설 신.증설사업 기본 및 실시설계 용역","경상남도 산청군","경상남도 산청군","일반경쟁","2020/07/06 22:32(-)"
"용역","20200706106-00","일반","여주역세권 도시개발사업 지적확정측량 수행자 선정 공고","경기도 여주시","경기도 여주시","일반경쟁","2020/07/06 22:23(-)"
"용역","20200706105-00","일반","금오중학교 학교운동장 재조성사업 설계용역 수의견적 제출 안내","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 22:23(2020/07/10 10:00)"
"용역","20200706101-00","긴급","국립중앙도서관 개관 75주년 등 홍보영상 제작","문화체육관광부 국립중앙도서관","문화체육관광부 국립중앙도서관","일반(총액)협상에의한계약","2020/07/06 22:18(2020/07/17 10:00)"
"용역","20200706095-00","일반","여주시 보유기록물 전수조사 용역","경기도 여주시","경기도 여주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 21:58(2020/07/10 10:00)"
"용역","20200706092-00","일반","다목적실용위성 영상자료 Spatial 품질 확인 및 검정을 위한 몽골 Edge Target 유지보수","한국항공우주연구원","한국항공우주연구원","제한(총액)규격가격동시","2020/07/06 21:50(2020/07/13 10:00)"
"용역","20200706085-00","일반","대전판암초등학교 외 2교(대전천동초, 대전가양중) 내진보강 및 기타공사  건설폐기물 운반 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 21:31(2020/07/10 10:00)"
"용역","20200706006-01","취소","대전판암초등학교 외 2교(대전천동초, 대전가양중) 내진보강 및 기타공사 건설폐기물 운반 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 21:24(2020/07/10 10:00)"
"용역","20200706072-00","일반","(재공고 2020-164) 2020 KnowTBT 포털 기능개선 및 운영.유지보수","한국산업기술시험원","한국산업기술시험원","제한(총액)협상에의한계약","2020/07/06 21:23(2020/07/17 10:00)"
"용역","20200706028-00","긴급","광나루로11길 경관개선사업 기본 및 실시설계 용역","서울특별시 성동구","서울특별시 성동구","일반(총액)협상에의한계약","2020/07/06 21:14(-)"
"용역","20200706049-00","일반","2020년 민간 빅데이터 구축 및 생활밀착형 분석 사업","서울특별시 성동구","서울특별시 성동구","제한(총액)협상에의한계약","2020/07/06 21:12(-)"
"용역","20200706050-01","변경","인제군 상수도관망 기술진단 용역","강원도 인제군지방상수도","강원도 인제군지방상수도","제한경쟁","2020/07/06 21:11(2020/07/13 10:00)"
"용역","20200706029-00","일반","[일반용역]코로나19 등 항체 검출검사용 항원슬라이드 제작","보건복지부 질병관리본부","보건복지부 질병관리본부","수의(총액)소액수의","2020/07/06 20:36(2020/07/14 10:00)"
"용역","20200706038-00","일반","지역주도형 청년일자리사업 청년 워크숍 운영 용역","재단법인 충청남도일자리진흥원","재단법인 충청남도일자리진흥원","일반(총액)협상에의한계약","2020/07/06 20:35(-)"
"용역","20200706015-00","긴급","남면 수산리 소규모수도시설 개량공사 폐기물처리용역","강원도 인제군지방상수도","강원도 인제군지방상수도","제한(총액)","2020/07/06 20:18(2020/07/13 10:00)"
"용역","20200705261-00","긴급","2021학년도 기초학력 진단검사 개발 합숙 숙식 및 시설 임차 용역","조달청 대전지방조달청","충남대학교 산학협력단","일반(총액)규격가격동시","2020/07/06 20:12(2020/07/17 10:00)"
"용역","20200705991-00","일반","정보보호 자가점검 수준진단 서비스 제공 및 중소기업 현황 분석","한국인터넷진흥원","한국인터넷진흥원","제한(총액)협상에의한계약","2020/07/06 19:56(-)"
"용역","20200705986-00","일반","대전판암초등학교 외 2교(대전천동초, 대전가양중) 내진보강 및 기타공사 건설폐기물 처리 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 19:53(2020/07/10 10:00)"
"용역","20200705982-00","일반","성주농어촌 지방상수도 시설공사 GIS DB 구축 용역","충청남도 보령시 경제도시국 수도과","충청남도 보령시 경제도시국 수도과","제한경쟁","2020/07/06 19:48(2020/07/17 10:00)"
"용역","20200705961-00","일반","2020년도 명장 노하우 전수 교육과정 개발 연구용역","중소벤처기업진흥공단","중소벤처기업진흥공단","제한(총액)협상에의한계약","2020/07/06 19:37(2020/07/17 10:00)"
"용역","20200705963-00","일반","대전현암초 외 4교(신탄진초, 대문초, 판암초,천동초)재활용폐목재 운반 및 처리 용역","대전광역시교육청 대전광역시동부교육지원청","대전광역시교육청 대전광역시동부교육지원청","수의(총액)소액수의","2020/07/06 19:36(2020/07/10 10:00)"
"용역","20200705945-00","일반","자안습지인처리시설 기본 및 실시설계 용역 재공고","한국농어촌공사 화안사업단","한국농어촌공사 화안사업단","실적","2020/07/06 19:32(2020/08/07 10:00)"
"용역","20200705940-00","긴급","2020 포항스틸아트페스티벌 작품 운송 및 설치 대행용역","(재)포항문화재단","(재)포항문화재단","일반(총액)협상에의한계약","2020/07/06 19:16(-)"
"용역","20200705903-02","변경","스포츠과학정보넷 구축(G클라우드 기반 하이브리드 앱 개발) 용역","한국스포츠정책과학원","한국스포츠정책과학원","제한(총액)협상에의한계약","2020/07/06 19:11(2020/07/20 11:00)"
"용역","20200705583-00","일반","2020년 판결서 등 비실명화 사업에 대한 감리 용역","조달청 서울지방조달청","대법원","수의(총액)","2020/07/06 19:02(2020/07/08 14:30)"
"용역","20200704402-00","일반","통합백업 및 관리시스템 구축 사업","조달청 광주지방조달청","광주광역시교육청 광주광역시교육연구정보원","제한(총액)협상에의한계약","2020/07/06 18:58(2020/07/28 10:00)"
"용역","20200705927-00","일반","주정차과태료 ARS 간편납부시스템 구축 사업(긴급)","경기도 부천시","경기도 부천시","제한(총액)","2020/07/06 18:58(2020/07/13 14:00)"
"용역","20200705917-00","일반","단일세포 증폭 유전체 대용량 염기서열 분석","한국해양과학기술원 부설 극지연구소","한국해양과학기술원 부설 극지연구소","일반(총액)","2020/07/06 18:52(2020/07/14 11:00)"
"용역","20200703895-03","변경","2020년 한복진흥원 개원식 및 글로벌 한복패션쇼 대행용역","경북문화재단","경북문화재단","제한(총액)협상에의한계약","2020/07/06 18:50(2020/07/27 17:00)"
"용역","20200705918-00","긴급","평지지구 하천재해예방사업 폐기물처리용역","경상남도","경상남도","일반(총액)","2020/07/06 18:47(2020/07/17 12:00)"
"용역","20200704808-00","일반","2020년 인터넷플랫폼시장 주요 이슈 도출 및 분석 용역","조달청 광주지방조달청","한국인터넷진흥원","수의(총액)","2020/07/06 18:39(2020/07/08 15:00)"
"용역","20200702731-00","긴급","수출통제 내부 심사지원시스템 개선 용역","조달청","한국원자력통제기술원","제한(총액)협상에의한계약","2020/07/06 18:35(2020/08/04 10:00)"
"용역","20200705911-00","일반","로켓방식 등 인공강우 실험 효과분석과 검증 연구","기상청 국립기상과학원","기상청 국립기상과학원","제한(총액)협상에의한계약","2020/07/06 18:33(2020/07/17 10:00)"
"용역","20200705485-00","일반","안덕 도시계획도로(중로2-5-2호선) 확포장공사 폐기물처리용역","제주특별자치도 서귀포시","제주특별자치도 서귀포시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:33(2020/07/10 12:00)"
"용역","20200705663-00","긴급","[대행입찰]감귤본색 통합홍보마케팅 전략 수립 용역","제주특별자치도 서귀포시","제주특별자치도 서귀포시","제한(총액)협상에의한계약","2020/07/06 18:32(-)"
"용역","20200705902-00","일반","주택건설공사 감리자(건축) 모집(『여수온천리조트지역주택조합1,2단지』 )","전라남도 여수시","전라남도 여수시","일반경쟁","2020/07/06 18:30(2020/07/16 12:00)"
"용역","20200705898-00","일반","하청항 시설공사 실시설계용역","경상남도","경상남도","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:27(2020/07/10 12:00)"
"용역","20200705897-00","긴급","신도꼼지락시장 상인간 협력 및 주도 프로젝트 용역","신도꼼지락시장 문화관광형시장 육성사업단","신도꼼지락시장 문화관광형시장 육성사업단","제한(총액)협상에의한계약","2020/07/06 18:26(2020/07/16 17:00)"
"용역","20200705880-00","일반","신안천(영덕지구) 하천재해예방사업 폐기물처리용역","경상북도","경상북도 북부건설사업소","제한(총액)","2020/07/06 18:24(2020/07/14 10:00)"
"용역","20200705787-00","일반","관광기업 혁신바우처 지원사업 시스템 구축","한국관광공사","한국관광공사","제한(총액)협상에의한계약","2020/07/06 18:21(2020/07/17 17:00)"
"용역","20200705869-00","일반","국지도69호선(기양1지구) 재해복구사업 폐기물처리용역","경상북도","경상북도 북부건설사업소","제한(총액)","2020/07/06 18:20(2020/07/14 10:00)"
"용역","20200705637-00","일반","해남공업고 펜싱훈련장 증축공사 설계용역","전라남도교육청 전라남도해남교육지원청","전라남도교육청 전라남도해남교육지원청","제한경쟁","2020/07/06 18:20(2020/07/14 10:00)"
"용역","20200704819-01","변경","2020년도 기상위성정보 활용 만족도 조사 및 전문가 심층인터뷰","기상청 국가기상위성센터","기상청 국가기상위성센터","제한(총액)협상에의한계약","2020/07/06 18:17(2020/07/17 10:00)"
"용역","20200705630-00","일반","황산중 다목적강당 증축공사 설계용역","전라남도교육청 전라남도해남교육지원청","전라남도교육청 전라남도해남교육지원청","제한경쟁","2020/07/06 18:17(2020/07/14 10:00)"
"용역","20200639373-00","긴급","2020 외국인 새마을교육 강의 콘텐츠 제작 용역","새마을운동중앙회","새마을운동중앙회","일반(총액)협상에의한계약","2020/07/06 18:17(2020/07/15 17:00)"
"용역","20200704776-00","일반","산본로데오거리 주차전용건축물 설계 경제성 검토 용역","경기도 군포시","경기도 군포시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:17(2020/07/10 14:00)"
"용역","20200705847-00","일반","용담동 삼덕아파트 일원 자전거도로 사고위험지역 안전개선 시범사업 폐기물처리용역","충청북도 청주시","충청북도 청주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:15(2020/07/10 10:00)"
"용역","20200704705-00","일반","구)장항제련소 주변 오염토양개선대책사업 백서제작","조달청 인천지방조달청","한국환경공단","제한(총액)협상에의한계약","2020/07/06 18:14(2020/07/21 10:00)"
"용역","20200705873-00","일반","송학사거리 교차로 정비공사 폐기물처리용역","경상남도 고성군","경상남도 고성군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:12(2020/07/09 10:00)"
"용역","20200705751-00","일반","유달산 목재문화체험장 조성사업 폐기물처리 용역","전라남도 목포시","전라남도 목포시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:11(2020/07/10 10:00)"
"용역","20200705820-00","일반","2020년 정밀 안전점검(금현천교 등 9개교) 용역","경기도 포천시","경기도 포천시","제한경쟁","2020/07/06 18:11(2020/07/16 10:00)"
"용역","20200705857-00","일반","용마초등학교 본관동 내진보강 구조설계용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 18:11(2020/07/10 10:00)"
