업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200519467-01,변경,재난피해 지역사회 현황조사,재단법인 416재단,재단법인 416재단,일반(총액)협상에의한계약,2020/05/15 23:16(2020/06/01 17:00),
용역,20200519468-00,긴급,"서울대학교 수의과대학 동물이용 생물안전3등급(ABL3) 연구시설 보완공사, 검증 및 유지보수용역",서울대학교 대학 수의과대학,서울대학교 대학 수의과대학,일반경쟁,2020/05/15 23:15(2020/05/25 10:00),
용역,20200519462-01,취소,재난피해 지역사회 현황조사,재단법인 416재단,재단법인 416재단,일반(총액)협상에의한계약,2020/05/15 23:00(2020/05/26 17:00),
용역,20200519460-01,취소,재난피해 지역사회 현황조사,재단법인 416재단,재단법인 416재단,일반(총액)협상에의한계약,2020/05/15 22:33(2020/05/26 17:00),
용역,20200513347-01,취소,재난피해 지역사회 현황조사,재단법인 416재단,재단법인 416재단,일반(총액)협상에의한계약,2020/05/15 22:19(2020/05/26 17:00),
용역,20200519459-00,일반,다대포 해수욕장 노을정 하수토구 정비공사 폐기물처리용역,부산광역시 사하구,부산광역시 사하구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 22:12(2020/05/21 10:00),
용역,20200519404-00,긴급,2020평창평화페스티벌 기획 및 운영 총괄대행사 선정 입찰 공고[긴급],재단법인 평창문화예술재단,재단법인 평창문화예술재단,제한(총액)협상에의한계약,2020/05/15 20:43(-),
용역,20200519450-00,긴급,아리랑문학마을 역사체험 콘텐츠 라이브스케치 구축 용역,전라북도 김제시,전라북도 김제시,제한(총액)협상에의한계약,2020/05/15 20:35(-),
용역,20200512055-00,일반,축산업정보 통합관리시스템 구축 PMO,조달청,축산물품질평가원,일반(총액)협상에의한계약,2020/05/15 20:35(2020/06/10 10:00),
용역,20200429819-00,긴급,방사능영향평가 정보시스템 통합연계체계 구축 (1차),조달청,한국원자력안전기술원,제한(총액)협상에의한계약,2020/05/15 20:26(2020/06/10 10:00),
용역,20200519449-00,일반,2020 숲속 평화콘서트 기획 및 운영 총괄대행사 선정 입찰 공고,재단법인 평창문화예술재단,재단법인 평창문화예술재단,제한(총액)협상에의한계약,2020/05/15 20:23(-),
용역,20200509954-00,긴급,2020년 국가연구안전정보시스템 고도화,조달청,한국생명공학연구원,제한(총액)협상에의한계약,2020/05/15 20:16(2020/06/10 10:00),
용역,20200509948-00,긴급,바이오 R&D 산업화 촉진 정보종합시스템 구축(4차년도),조달청,한국생명공학연구원,제한(총액)협상에의한계약,2020/05/15 20:11(2020/06/10 10:00),
용역,20200519440-00,긴급,해금강마을 하수관로 정비사업 수밀시험 및 CCTV조사용역,경상남도 거제시,경상남도 거제시,제한경쟁,2020/05/15 19:51(2020/05/22 10:00),
용역,20200519436-00,긴급,해금강마을 공공하수도사업 GIS DB구축 용역,경상남도 거제시,경상남도 거제시,제한경쟁,2020/05/15 19:43(2020/05/22 10:00),
용역,20200519432-00,긴급,망치·망양·양화마을 공공하수도사업 GIS DB구축 용역,경상남도 거제시,경상남도 거제시,제한경쟁,2020/05/15 19:35(2020/05/22 10:00),
용역,20200519431-00,일반,산북면 이곡리 갯마천 정비공사 건설폐기물처리용역,경상북도 문경시,경상북도 문경시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 19:33(2020/05/22 10:00),
용역,20200509309-01,취소,광명동굴 예매발권 시스템 임대 및 위탁 용역(협상에 의한 계약)[긴급],광명도시공사,광명도시공사,제한(총액)협상에의한계약,2020/05/15 19:31(2020/05/19 17:00),
용역,20200519428-00,일반,문경 조령관문(1관문 성곽)보수 감리용역,경상북도 문경시,경상북도 문경시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 19:29(2020/05/22 10:00),
용역,20200519422-00,긴급,고령군 도로 및 지하시설물 전산화사업(2단계)(협상에의한 계약),경상북도 고령군,경상북도 고령군,제한(총액)협상에의한계약,2020/05/15 19:18(-),
용역,20200519411-00,긴급,의성 펫월드 펫카페 위탁운영자 모집(협상에 의한 계약),경상북도 의성군,경상북도 의성군,일반(총액)협상에의한계약,2020/05/15 19:17(-),
용역,20200519405-00,긴급,소정지구 자연재해위험지구 개선사업 기본 및 실시설계 용역(PQ 후 가격입찰),충청남도 서산시,충청남도 서산시,일반경쟁,2020/05/15 19:11(-),
용역,20200519415-00,긴급,의정부시 보행교통개선 기본계획 수립용역(긴급),경기도 의정부시,경기도 의정부시,제한경쟁,2020/05/15 19:05(2020/05/21 10:00),
용역,20200519402-00,긴급,민락2지구(푸른마당 근린공원) 지구단위계획 변경 용역(긴급),경기도 의정부시,경기도 의정부시,제한경쟁,2020/05/15 19:00(2020/05/21 10:00),
용역,20200518218-00,일반,영동산업단지 주변마을 지방상수도 확장사업 건설사업관리용역,조달청,충청북도 영동군,"일반경쟁(용역,PQ)",2020/05/15 18:51(2020/06/11 10:00),
용역,20200518482-00,일반,증평군 노후하수관로 정비사업 감독권한대행등 건설사업관리용역,조달청,충청북도 증평군 상하수도사업소,"일반경쟁(용역,PQ)",2020/05/15 18:50(2020/06/11 10:00),
용역,20200517912-00,일반,2020년 (재)부산정보산업진흥원 입주지원센터 인터넷 전용선 서비스(ISP) 용역,재단법인 부산정보산업진흥원,재단법인 부산정보산업진흥원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 18:47(2020/05/21 14:00),
용역,20200519390-00,일반,수곡지구 우수저류시설 설치사업 폐기물처리용역,충청북도 청주시,충청북도 청주시,제한(총액),2020/05/15 18:45(2020/05/25 10:00),
용역,20200519389-00,일반,사업관리시스템 고도화 및 검인정시스템 개발 사업,한국과학창의재단,한국과학창의재단,제한(총액)협상에의한계약,2020/05/15 18:42(2020/05/26 10:00),
