업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200523905-00,일반,화학산업 안전풍토(Safety Climate) 조성방안 마련,한국산업안전보건공단 산업안전보건연구원,한국산업안전보건공단 산업안전보건연구원,일반(총액)협상에의한계약,2020/05/19 22:10(2020/06/01 10:00),,
용역,20200523899-00,일반,HIP 물류창고 물품배송 차량 임차 운영 계약,분당서울대학교병원,분당서울대학교병원,제한(총액),2020/05/19 22:02(2020/05/28 12:00),,
용역,20200523879-00,일반,폐기물 위탁관리(운반 및 처리) 용역 계약,분당서울대학교병원,분당서울대학교병원,일반(총액),2020/05/19 21:39(2020/05/28 12:00),,
용역,20200523882-00,일반,국도34호선 안동(망천)지구 포장도보수 폐기물처리용역,경상북도 북부건설사업소,경상북도 북부건설사업소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 21:32(2020/05/27 14:00),,
용역,20200523863-00,긴급,장흥 금장사지 긴급 학술발굴(시굴) 조사용역,전라남도 장흥군,전라남도 장흥군,제한(총액),2020/05/19 21:08(2020/05/25 10:00),,
용역,20200523858-00,긴급,고농도 미세먼지 대응 살수차 임차 용역,경기도 수원시,경기도 수원시,일반(총액),2020/05/19 21:08(2020/05/25 10:00),,
용역,20200523856-00,일반,순천시 숲길조사 및 숲길 연차별계획 수립 용역,전라남도 순천시,전라남도 순천시,제한경쟁,2020/05/19 21:04(2020/05/25 12:00),,
용역,20200523852-00,일반,순환선(연료운반선) 신규건조 기본 및 실시설계용역,인천광역시 옹진군,인천광역시 옹진군,일반경쟁,2020/05/19 21:01(2020/05/25 10:00),,
용역,20200523854-00,일반,장흥읍 칠거리예양로 77번지 외4곳 지장물철거공사 폐기물처리용역,전라남도 장흥군,전라남도 장흥군,제한(총액),2020/05/19 20:59(2020/05/25 10:00),,
용역,20200523849-00,긴급,덕산면 도전리 농어촌도로(101호선) 선형개량공사 폐기물처리용역,충청북도 제천시,충청북도 제천시,제한(총액),2020/05/19 20:56(2020/05/25 10:00),,
용역,20200523827-00,긴급,기술용역 가격입찰공고[경기도 지방도계획(21~25) 수립용역],경기도청 북부청사,경기도청 북부청사,지명경쟁,2020/05/19 20:52(2020/05/26 14:00),,
용역,20200521654-00,긴급,순천시 혁신농업인센터 건립사업 건축설계 공모(긴급),전라남도 순천시,전라남도 순천시,일반경쟁,2020/05/19 20:49(-),,
