"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200615958-00","일반","2020년 지역 공예품 국내외 유통망 활성화 용역","재단법인전라남도정보문화산업진흥원","재단법인전라남도정보문화산업진흥원","일반(총액)협상에의한계약","2020/06/10 23:00(2020/06/23 10:00)"
"용역","20200615950-00","일반","남산마을 경관가이드라인 수립 용역","인천광역시 강화군","인천광역시 강화군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 22:45(2020/06/16 10:00)"
"용역","20200615953-00","일반","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(4권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 22:40(2020/06/16 10:00)"
"용역","20200615952-00","일반","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(3권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 22:35(2020/06/16 10:00)"
"용역","20200615948-00","일반","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(2권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 22:30(2020/06/16 10:00)"
"용역","20200615946-00","일반","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(1권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 22:25(2020/06/16 10:00)"
"용역","20200615348-00","일반","군장항 폭풍해일 방호문시설 유지관리용역","해양수산부 군산지방해양수산청","해양수산부 군산지방해양수산청","제한(총액)","2020/06/10 22:21(2020/06/18 10:00)"
"용역","20200615944-00","긴급","2020년 염하수로 가도지구 부유쓰레기 수거처리 용역","인천광역시 강화군","인천광역시 강화군","제한(총액)","2020/06/10 22:20(2020/06/16 10:00)"
"용역","20200615945-00","긴급","월평1구 용배수로 정비사업 폐기물처리용역","경상남도 합천군","경상남도 합천군","제한(총액)종합낙찰제","2020/06/10 22:16(2020/06/16 10:00)"
"용역","20200615943-00","긴급","2020년 마을상수도 지하수 영향조사용역","경상남도 합천군","경상남도 합천군","제한경쟁","2020/06/10 22:11(2020/06/16 10:00)"
"용역","20200615443-01","취소","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(4권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 21:49(2020/06/16 10:00)"
"용역","20200615939-00","일반","기록관 보유 중요기록물 정비 용역","경상남도 통영시","경상남도 통영시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 21:48(2020/06/16 11:00)"
"용역","20200615425-01","취소","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(3권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 21:48(2020/06/16 10:00)"
"용역","20200615361-01","취소","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(2권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 21:47(2020/06/16 10:00)"
"용역","20200615323-01","취소","2020년도 슬레이트 처리 지원사업 지정폐기물(석면) 처리용역(1권역)","강원도 영월군","강원도 영월군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 21:46(2020/06/16 10:00)"
"용역","20200611979-00","긴급","서울은로유치원 신설 설계공모(용역)","서울특별시교육청 서울특별시동작관악교육지원청","서울특별시교육청 서울특별시동작관악교육지원청","일반경쟁","2020/06/10 21:38(-)"
"용역","20200615914-00","일반","악양면 평사리 황금들판 들녘아트 조성사업","경상남도 하동군","경상남도 하동군","일반(총액)","2020/06/10 20:58(2020/06/16 10:00)"
"용역","20200615897-00","긴급","군산시 자전거이용 활성화계획(변경) 수립용역","전라북도 군산시","전라북도 군산시","제한경쟁","2020/06/10 20:43(2020/06/16 12:00)"
"용역","20200614611-00","일반","중모고등학교 농업계 특성화고 전환 정보통신공사 감리용역 소액수의 견적제출 안내공고","경상북도교육청 경상북도김천교육지원청","경상북도교육청 경상북도김천교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 20:34(2020/06/16 10:00)"
"용역","20200615868-00","긴급","국도38호선 서남교(하) 등 2개소 시설물보수공사 폐기물 처리용역","국토교통부 원주지방국토관리청 정선국토관리사무소","국토교통부 원주지방국토관리청 정선국토관리사무소","제한(총액)","2020/06/10 20:19(2020/06/16 10:00)"
"용역","20200615838-00","일반","열수송관 열수축케이싱 성능에 따른 맞춤형 설치기준 수립 연구","한국지역난방공사","한국지역난방공사","일반(총액)협상에의한계약","2020/06/10 20:14(2020/06/22 11:00)"
"용역","20200614782-00","긴급","[긴급]원촌중 교실증축공사 설계용역 공모","서울특별시교육청 서울특별시강남서초교육지원청","서울특별시교육청 서울특별시강남서초교육지원청","일반경쟁","2020/06/10 20:06(-)"
"용역","20200615847-00","일반","00시험장 정수기 임차 및 유지관리 용역","국방과학연구소제5기술연구본부","국방과학연구소제5기술연구본부","제한(총액)","2020/06/10 20:05(2020/06/16 10:00)"
"용역","20200615824-00","일반","2020년 한국지역난방공사 지방 권역 보건관리 위탁용역","한국지역난방공사","한국지역난방공사","제한(단가)","2020/06/10 19:52(2020/06/16 10:00)"
"용역","20200615825-00","일반","해상탐지레이다(Scanter2001) 유지보수용역","국방과학연구소제5기술연구본부","국방과학연구소제5기술연구본부","제한(총액)","2020/06/10 19:50(2020/06/18 10:00)"
"용역","20200615791-00","긴급","2020년 하반기 시특법 제1,2종 시설물 정기점검 용역","경기도 파주시","경기도 파주시","제한경쟁","2020/06/10 19:49(2020/06/16 10:00)"
"용역","20200615821-00","일반","봉강면 기초생활거점 육성사업 건설폐기물 운반처리용역 소액수의 안내 공고","전라남도 광양시","전라남도 광양시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 19:48(2020/06/16 10:00)"
"용역","20200615816-00","일반","오사1리 새뜰마을사업 기본계획 수립 및 실시설계용역","경상북도 고령군","경상북도 고령군","제한경쟁","2020/06/10 19:44(2020/06/18 10:00)"
"용역","20200615815-00","일반","태화동 새뜰마을사업 커뮤니티센터 조성 실시설계용역","경상북도 안동시","경상북도 안동시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 19:43(2020/06/16 12:00)"
"용역","20200615800-00","일반","옥곡 명주2급경사지 붕괴위험지역 정비사업 폐합성수지 처리용역","전라남도 광양시","전라남도 광양시","제한(총액)","2020/06/10 19:34(2020/06/18 10:00)"
"용역","20200613920-00","일반","탐방로조성사업 보행교 설치공사 소규모환경영향평가용역","경상북도 안동시","경상북도 안동시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 19:33(2020/06/16 12:00)"
"용역","20200613925-00","일반","안동 번남고택 화장실 건립 설계용역(입찰대행)","경상북도 안동시","경상북도 안동시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 19:28(2020/06/16 12:00)"
"용역","20200615789-00","일반","갈산어린이공원 지하주차장 건립 소규모 지하안전영향평가 용역","경기도 안양시","경기도 안양시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 19:22(2020/06/16 10:00)"
"용역","20200615772-00","긴급","남일이네 수직보행 인프라 구축공사 폐기물처리용역","부산광역시 서구","부산광역시 서구","제한(총액)","2020/06/10 19:17(2020/06/16 14:00)"
"용역","20200615782-00","일반","옥곡 명주2급경사지 붕괴위험지역 정비사업 건설폐기물 처리용역","전라남도 광양시","전라남도 광양시","제한(총액)","2020/06/10 19:15(2020/06/18 10:00)"
"용역","20200615322-00","일반","2020년도 사회복지시설 서비스 품질제고를 위한 맞춤형 컨설팅 위탁용역","조달청 서울지방조달청","사회보장정보원","제한(총액)협상에의한계약","2020/06/10 18:58(2020/06/26 10:00)"
"용역","20200615748-00","일반","내포아트빌리지 조성사업 건축공사 상주감리용역","충청남도개발공사","충청남도개발공사","제한경쟁","2020/06/10 18:50(2020/06/18 10:00)"
"용역","20200615743-00","일반","도시재생 뉴딜사업(평화의 섬 연평도) 연평 커뮤니티 복합센터 신축공사 실시설계용역","인천광역시 옹진군","인천광역시 옹진군","제한경쟁","2020/06/10 18:48(2020/06/16 10:00)"
"용역","20200615751-00","긴급","순창 합미성 추정 동문지 유적 시굴 및 정밀 발굴조사 용역","전라북도 순창군","전라북도 순창군","제한(총액)","2020/06/10 18:48(2020/06/16 10:00)"
