"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200638593-00","긴급","장곡중 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:37(2020/07/02 10:00)"
"용역","20200638588-00","긴급","시흥은행중 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:36(2020/07/02 10:00)"
"용역","20200638586-00","긴급","군자초 교사A,B동 내진보강(구조)설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:33(2020/07/02 10:00)"
"용역","20200638591-00","긴급","소래고 교사1,2동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:25(2020/07/02 10:00)"
"용역","20200638589-00","긴급","도창초 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:19(2020/07/02 10:00)"
"용역","20200638549-00","긴급","함현고 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:07(2020/07/02 10:00)"
"용역","20200638547-00","긴급","목감초 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:05(2020/07/02 10:00)"
"용역","20200638544-00","긴급","냉정초 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:03(2020/07/02 10:00)"
"용역","20200638543-00","긴급","연성중 교사동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 21:01(2020/07/02 10:00)"
"용역","20200638539-00","긴급","군자디지털과학고 교사2동 내진보강(구조) 설계용역 소액수의 견적제출 안내공고","경기도교육청 경기도시흥교육지원청","경기도교육청 경기도시흥교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/28 20:58(2020/07/02 10:00)"
