"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704386-00","일반","하동읍 산복도로 하수관로 정비사업 폐기물처리용역","경상남도 하동군","경상남도 하동군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 22:08(2020/07/09 10:00)"
"용역","20200704368-00","일반","월포초등학교 본관동 내진보강 구조설계용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 21:07(2020/07/09 10:00)"
"용역","20200704353-00","일반","대암초등학교 외 1교(대방초) 화장실보수 및 창호교체공사 건설폐기물처리용역","경상남도교육청 경상남도창원교육지원청","경상남도교육청 경상남도창원교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 20:22(2020/07/09 10:00)"
"용역","20200704247-00","긴급","2020년 궁중과 사대부가의 전통 음식 축제 용역","서울특별시 종로구","서울특별시 종로구","일반(총액)협상에의한계약","2020/07/03 19:25(2020/07/15 17:00)"
"용역","20200704335-00","일반","장생포순환도로 확장관련 공유수면매립 기본계획 수립(반영) 용역","울산광역시","울산광역시","제한경쟁","2020/07/03 19:23(2020/07/14 10:00)"
"용역","20200704328-00","일반","시험설비 점검/보강 및 시험지원","국방과학연구소","국방과학연구소","제한(총액)규격가격동시","2020/07/03 18:59(2020/07/22 10:00)"
"용역","20200704323-00","일반","고덕주공9단지아파트 재건축 정밀안전진단 용역","서울특별시 강동구","서울특별시 강동구","일반경쟁","2020/07/03 18:53(-)"
"용역","20200703914-00","일반","사업수행능력평가서 제출안내 공고(문수실내수영장 노후시설 개ㆍ보수 설계용역)","울산시설공단","울산시설공단","제한경쟁","2020/07/03 18:50(-)"
"용역","20200704324-00","일반","관광거점도시 컨설팅 및 협의체 운영 지원 용역","한국문화관광연구원","한국문화관광연구원","제한(총액)협상에의한계약","2020/07/03 18:50(2020/07/14 14:00)"
"용역","20200704320-00","일반","동천제방겸용도로(좌안제, 대3-44) 도로개설 실시설계용역","울산광역시","울산광역시","제한경쟁","2020/07/03 18:44(2020/07/14 10:00)"
